patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,top1,top2,top3,top4,top5,avg,std,worse
10464564,10402674,2019-11-05,2019-09-03,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.8290914670308384,0.820431555370053,0.819713086651944,0.8115576743098881,0.8046511732073802,0.6775884457637251,0.05797918673784677,0.5365846967760564
10464564,11477598,2019-11-05,2022-10-18,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7619480941370002,0.7323213322773715,0.7310273840199621,0.7079077398606831,0.7026834717979688,0.594825065741192,0.08400191250386042,0.41696713364425786
10464564,10448186,2019-11-05,2019-10-15,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7817602626758072,0.7682200114716157,0.7381666540840133,0.7294373979111091,0.7170504823456858,0.6290590502352542,0.0565925012966438,0.490732518296355
10464564,10397722,2019-11-05,2019-08-27,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.8188138207217887,0.7709072858836156,0.7659886374481861,0.7603834938146731,0.7549923702492701,0.655430586356515,0.053115422735112654,0.5300372263449128
10464564,10466063,2019-11-05,2019-11-05,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.8031698444148688,0.7673256640688405,0.7372152179840427,0.7299116566533019,0.7287486373745393,0.6286327474231668,0.0649013618506807,0.48684639903429594
10464564,10402984,2019-11-05,2019-09-03,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7243536397294337,0.7087887222453121,0.6970386819860838,0.6920812043286032,0.6902967033906933,0.6125651774923749,0.05943927646350954,0.471733173230075
10464564,11477558,2019-11-05,2022-10-18,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7887414140746584,0.746639373416967,0.7442512504228219,0.7420185860503956,0.7364307053557986,0.5801808893570145,0.083550737501823,0.2311775018390099
10464564,D863356,2019-11-05,2019-10-15,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.6808246488262337,0.6344854149294903,0.6322942058229786,0.6131750787939919,0.6025003349609666,0.41230471692719917,0.13608381989751908,0.18318563807204802
10464564,D857546,2019-11-05,2019-08-27,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.8178870369708491,0.7867699428402772,0.7601143091349569,0.7578269975554494,0.750973359268755,0.6875973463496918,0.05363602997624357,0.5810120376184452
10464564,D865536,2019-11-05,2019-11-05,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7995100455010612,0.77841441163896,0.7498402632950187,0.745263648787809,0.7369141562268483,0.6813405518911233,0.047810070854415784,0.5803856055136757
10464564,D858514,2019-11-05,2019-09-03,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.8292349693811847,0.8237272661137535,0.8162927512728386,0.8150769776726942,0.8114659301096919,0.7201553214819696,0.052814988424965806,0.5930556213587374
10401853,11477488,2019-09-03,2022-10-18,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.7524981210497935,0.730132694775412,0.7250158791311181,0.7237532200589591,0.719213352524447,0.610057147171672,0.05946380194269287,0.4937565703039257
10401853,10448039,2019-09-03,2019-10-15,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.7908466652229256,0.7864162193891653,0.7731166268257595,0.7447132285115237,0.7389210776173001,0.6437183820631242,0.06149731640652452,0.5215380885542753
10401853,10397580,2019-09-03,2019-08-27,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.7858231708114674,0.7800746388432696,0.776542444858051,0.7759823177365511,0.7645371501347211,0.6598140388380628,0.06347623516540084,0.5140361189622155
10401853,10469862,2019-09-03,2019-11-05,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.813801704905887,0.779479196799087,0.7679693311695133,0.7642093008105404,0.7515907670753589,0.6544597204274157,0.06577904178224837,0.5298845785474974
10401853,10402674,2019-09-03,2019-09-03,fl:ae_ln:dudar-1,fl:by_ln:jeon-110,0,0.8282734058590987,0.8205222539147539,0.8198037851966437,0.8119527103863872,0.8051210699045489,0.6680890718574155,0.06619176874189331,0.5253901140504416
10401853,11477598,2019-09-03,2022-10-18,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7621816395256179,0.7320099230268323,0.730965185619865,0.7083121627306006,0.7080865834480727,0.5862758051669361,0.08826985269651466,0.39394147546079256
10401853,10448186,2019-09-03,2019-10-15,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.7821545338407595,0.7688060893447856,0.737540863286617,0.7290204108456617,0.7222783072516181,0.6196500703450603,0.0634229877781505,0.47558545589172674
10401853,10397722,2019-09-03,2019-08-27,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.8185419367114012,0.7708735441035333,0.7673965999563294,0.766170524295298,0.7550642242008113,0.6461990730082509,0.06090898040662902,0.518314034612465
10401853,10466063,2019-09-03,2019-11-05,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.8045122895448007,0.7682526462065286,0.739836270166497,0.7348662739671535,0.7343529376456007,0.6196389953047657,0.07070676837867633,0.4802023102231326
10401853,10402984,2019-09-03,2019-09-03,fl:ae_ln:dudar-1,fl:ar_ln:lehtiniemi-2,0,0.723391109035225,0.7094017728324848,0.6969878253291291,0.6918300297852982,0.6912095928329667,0.6061743733836584,0.0638470267329824,0.4756301000134633
10401853,11477558,2019-09-03,2022-10-18,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7889755174707803,0.7468124298367336,0.7431705787609145,0.7420476944382106,0.73631151913509,0.5720221013164861,0.0863698561386466,0.23068542872117193
10401853,D863356,2019-09-03,2019-10-15,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.6814091320382483,0.6436102846331196,0.6350742728840731,0.6155811398892264,0.5774944561008893,0.4101375107666426,0.13478625319389478,0.18179052127789672
10401853,D857546,2019-09-03,2019-08-27,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.8172122306607619,0.7866936070370744,0.7651740325003074,0.7592978974500371,0.7507632758401143,0.6774080580836515,0.06282024211330951,0.5602792908953155
10401853,D865536,2019-09-03,2019-11-05,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.7940960047171463,0.7781211038037662,0.7506235375662769,0.7453877810313086,0.7365261260770912,0.671904640219456,0.05811784234000573,0.5642085797387856
10401853,D858514,2019-09-03,2019-09-03,fl:ae_ln:dudar-1,fl:be_ln:shaffer-3,0,0.828874702339276,0.8222546291428057,0.8153017498908726,0.8140504215201075,0.8110184691755044,0.7085306538993918,0.06326806583757628,0.5828838788317008
11477488,10448039,2022-10-18,2019-10-15,fl:by_ln:jeon-110,fl:by_ln:jeon-110,1,0.7955286134092118,0.7937818835833459,0.7893726402338739,0.7878345056713421,0.7859815021231166,0.674595421674687,0.05244099034961887,0.5346158501302757
11477488,10397580,2022-10-18,2019-08-27,fl:by_ln:jeon-110,fl:by_ln:jeon-110,1,0.7936033214885536,0.7855112997523701,0.7836368889358963,0.7805140172469391,0.7751055811602233,0.6958515907292652,0.051230771168579325,0.5423443722311742
11477488,10469862,2022-10-18,2019-11-05,fl:by_ln:jeon-110,fl:by_ln:jeon-110,1,0.8217200509844386,0.8088030340341645,0.8063570396228372,0.8023272794773956,0.7987026684967892,0.6907572654641232,0.059870310379821885,0.5490851757704435
11477488,10402674,2022-10-18,2019-09-03,fl:by_ln:jeon-110,fl:by_ln:jeon-110,1,0.8352260671839759,0.8345075984658665,0.8251638826164103,0.8161525479661563,0.8137092687688763,0.6969640051996613,0.05718587234623221,0.5478885953405566
11477488,11477598,2022-10-18,2022-10-18,fl:by_ln:jeon-110,fl:ar_ln:lehtiniemi-2,0,0.771780088314046,0.7596155890775691,0.7548861587454577,0.7539994802705299,0.7499818688654051,0.6228130298954354,0.0853912001865013,0.4295479012656617
