patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP,HOG,SIFT,SSIM
11477519,10397703,2022-10-18,2019-08-27,fl:ka_ln:yoshizawa-7,fl:ka_ln:yoshizawa-7,1,0.9779038495976815,0.17926927,2675,0.5040094556468724
11477519,10463667,2022-10-18,2019-11-05,fl:ka_ln:yoshizawa-7,fl:ar_ln:arvanitis-4,0,0.9859563951453066,0.11090174,51,0.6445097770201033
10470185,10469210,2019-11-05,2019-11-05,fl:hu_ln:lou-5,fl:hu_ln:lou-5,1,0.9804785747102688,0.22763982,2886,0.6034960573943534
10470185,10396900,2019-11-05,2019-08-27,fl:hu_ln:lou-5,fl:ta_ln:hoshida-1,0,0.9849804335225626,0.1669659,123,0.6745718303117636
11474531,10464064,2022-10-18,2019-11-05,fl:jo_ln:wikswo-2,fl:jo_ln:wikswo-2,1,0.8604815817619532,0.5161045,3634,0.221336717081006
11474531,10404277,2022-10-18,2019-09-03,fl:jo_ln:wikswo-2,fl:da_ln:bruck-1,0,0.9220323483511887,0.30608088,199,0.3958437287946681
10395977,10395985,2019-08-27,2019-08-27,fl:la_ln:clevenger-2,fl:la_ln:clevenger-2,1,0.9760876983371715,0.22469191,2130,0.6578630790638712
10395977,10392536,2019-08-27,2019-08-27,fl:la_ln:clevenger-2,fl:hy_ln:yoo-50,0,0.985272591973535,0.059366025,118,0.7483829782638355
10402927,10445799,2019-09-03,2019-10-15,fl:jo_ln:rinaldo-2,fl:jo_ln:rinaldo-2,1,0.9821644353486835,0.18439557,4463,0.6537570743684773
10402927,10446821,2019-09-03,2019-10-15,fl:jo_ln:rinaldo-2,fl:na_ln:yamada-12,0,0.9825614486665905,0.1888989,210,0.6890251250766619
10395094,10447603,2019-08-27,2019-10-15,fl:hu_ln:ni-9,fl:hu_ln:ni-9,1,0.996270589981988,0.31065276,254,0.8708333615817725
10395094,11475677,2019-08-27,2022-10-18,fl:hu_ln:ni-9,fl:av_ln:avidan-1,0,0.9917106494830686,0.11883061,18,0.8101509458965698
10445066,11475167,2019-10-15,2022-10-18,fl:jo_ln:bradbury-4,fl:jo_ln:bradbury-4,1,0.9830499334976535,0.3296624,3027,0.692292999763353
10445066,11475850,2019-10-15,2022-10-18,fl:jo_ln:bradbury-4,fl:jo_ln:park-546,0,0.9804058815256401,0.22433668,80,0.6556249486886921
10402010,10394067,2019-09-03,2019-08-27,fl:ha_ln:kurasawa-1,fl:ha_ln:kurasawa-1,1,0.9776745631299134,0.21782914,5634,0.5837641134439042
10402010,10398533,2019-09-03,2019-09-03,fl:ha_ln:kurasawa-1,fl:il_ln:lucca-1,0,0.976452820698249,0.22614186,195,0.5935833070911575
11477656,10405320,2022-10-18,2019-09-03,fl:yo_ln:zhao-70,fl:yo_ln:zhao-70,1,0.974935144071142,0.15275055,3972,0.656068596192061
11477656,11476237,2022-10-18,2022-10-18,fl:yo_ln:zhao-70,fl:ch_ln:lee-2365,0,0.9813608506212119,0.15915823,103,0.6764797717155348
